Name,Field,Major,Education,Skills,Projects,Experience
Candidate 231,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","Psychology, History, Sociology, Political Science","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Brookings Institution
Candidate 743,Arts & Design,Photography,"Bachelor's in Photography, Year: Sophomore","Fine Arts, Photography, Music, Fashion Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 322,Medical & Life Sciences,Biomedical Engineering,"Bachelor's in Biomedical Engineering, Year: Freshman","Pharmaceutical Sciences, Healthcare, Nursing, Public Health",Biomedical Engineering Personal Project,Volunteer at Johnson & Johnson
Candidate 297,Humanities & Social Sciences,Geography,"Bachelor's in Geography, Year: Freshman","Psychology, Political Science, Sociology",N/A,N/A
Candidate 613,Arts & Design,Videography,"Bachelor's in Videography, Year: Sophomore","Videography, Photography, Graphic Design","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Adobe
Candidate 626,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","History, Political Science, Geography, International Relations","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Brookings Institution
Candidate 363,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Sophomore","Political Science, Sociology, History, Geography, International Relations","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Amnesty International
Candidate 638,Math & Technology,Data Science,"Master's in Data Science, Year: Year 2","Electrical Engineering, Mechanical Engineering, Computer Science","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Amazon
Candidate 482,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Freshman","Data Science, Electrical Engineering, Computer Science",N/A,N/A
Candidate 540,Medical & Life Sciences,Biomedical Engineering,"Master's in Biomedical Engineering, Year: Year 1","Pharmaceutical Sciences, Biomedical Engineering, Nursing","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at Johnson & Johnson
Candidate 404,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Freshman","Investment Banking, Real Estate, Accounting, Taxation, Supply Chain Management",N/A,N/A
Candidate 557,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Finance, Supply Chain Management, Real Estate","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 953,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 1","Photography, Fine Arts, Videography, Music, Fashion Design","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Adobe
Candidate 463,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Videography, Fine Arts, Photography, Fashion Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Spotify
Candidate 946,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Accounting, Investment Banking, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 760,Business & Finance,Accounting,"Master's in Accounting, Year: Year 2","Supply Chain Management, Finance, Investment Banking, Taxation, Accounting","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Morgan Stanley
Candidate 494,Arts & Design,Videography,"Master's in Videography, Year: Year 1","Fine Arts, Photography, Music","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Pixar
Candidate 721,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Freshman","Software Engineering, Computer Science, Electrical Engineering",N/A,N/A
Candidate 815,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 1","Geography, Psychology, International Relations, Sociology","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at National Geographic
Candidate 777,Medical & Life Sciences,Healthcare,"Master's in Healthcare, Year: Year 1","Biology, Healthcare, Nursing","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Johnson & Johnson
